City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort bragg,35.139,-79.006,75.04,81,0,11.5,US,1715304959
1,bilibino,68.0546,166.4372,31.96,87,97,2.51,RU,1715304959
2,port-aux-francais,-49.35,70.2167,43.77,91,100,37.36,TF,1715304959
3,blackmans bay,-43.0167,147.3167,56.73,93,100,1.01,AU,1715304960
4,iqaluit,63.7506,-68.5145,28.13,80,75,8.05,CA,1715304960
5,pisco,-13.7,-76.2167,69.03,77,0,3.44,PE,1715304842
6,avarua,-21.2078,-159.775,82.45,83,20,10.36,CK,1715304960
7,enterprise,36.0252,-115.2419,78.17,18,20,12.66,US,1715304961
8,alo,7.4178,6.7371,79.59,87,100,5.06,NG,1715304961
9,haapsalu,58.9431,23.5414,45.99,86,100,6.11,EE,1715304961
10,puerto ayora,-0.7393,-90.3518,73.54,98,47,6.93,EC,1715304891
11,new norfolk,-42.7826,147.0587,57.92,82,99,2.53,AU,1715304962
12,port mathurin,-19.6833,63.4167,77.61,73,100,24.54,MU,1715304962
13,waitangi,-43.9535,-176.5597,50.83,80,77,3.0,NZ,1715304962
14,grytviken,-54.2811,-36.5092,31.62,90,100,4.14,GS,1715304963
15,tsumeb,-19.2333,17.7167,63.9,30,0,8.9,,1715304963
16,six-fours-les-plages,43.0938,5.84,62.46,61,0,6.85,FR,1715304963
17,broome,42.2506,-75.833,55.78,80,100,1.99,US,1715304963
18,quiberon,47.4841,-3.1196,56.1,87,100,16.37,FR,1715304964
19,tangalle,6.024,80.7911,78.96,86,100,2.73,LK,1715304964
20,lerwick,60.1545,-1.1494,48.2,92,100,14.16,GB,1715304964
21,bethel,41.3712,-73.414,61.36,72,100,1.01,US,1715304690
22,san antonio de pale,-1.4014,5.6325,80.04,89,100,13.53,GQ,1715304965
23,yellowknife,62.456,-114.3525,59.52,26,20,12.66,CA,1715304965
24,tiksi,71.6872,128.8694,27.91,90,100,4.99,RU,1715304965
25,dongcun,36.7767,121.1597,63.52,66,4,17.63,CN,1715304965
26,afaahiti,-17.75,-149.2833,84.07,76,3,7.9,PF,1715304966
27,adamstown,-25.066,-130.1015,72.3,76,93,10.2,PN,1715304966
28,georgetown,5.4112,100.3354,85.93,83,20,3.44,MY,1715304927
29,montepuez,-13.1256,38.9997,62.85,97,1,4.72,MZ,1715304966
30,ust-nera,64.5667,143.2,40.93,72,100,4.03,RU,1715304967
31,bredasdorp,-34.5322,20.0403,50.63,88,0,5.99,ZA,1715304967
32,longyearbyen,78.2186,15.6401,31.84,69,75,19.57,SJ,1715304875
33,edinburgh of the seven seas,-37.0676,-12.3116,55.04,60,100,9.55,SH,1715304967
34,turbat,26.0023,63.044,82.08,68,0,5.48,PK,1715304968
35,albany,42.6001,-73.9662,57.67,59,100,4.09,US,1715304769
36,carnarvon,-24.8667,113.6333,77.76,56,51,4.81,AU,1715304968
37,karratha,-20.7377,116.8463,80.46,27,100,18.63,AU,1715304968
38,magnolia,33.2671,-93.2393,78.49,94,64,5.77,US,1715304968
39,cabedelo,-6.9811,-34.8339,75.87,83,9,10.45,BR,1715304969
40,kundiawa,-6.0167,144.9667,65.73,96,100,0.81,PG,1715304969
41,punta arenas,-53.15,-70.9167,30.31,93,20,6.91,CL,1715304857
42,aykhal,66.0,111.5,18.73,84,100,14.58,RU,1715304970
43,vernon,50.2581,-119.2691,78.22,28,10,1.99,CA,1715304708
44,coari,-4.085,-63.1414,79.32,82,70,3.69,BR,1715304970
45,kruisfontein,-34.0033,24.7314,51.89,88,0,2.35,ZA,1715304970
46,broken hill,-31.95,141.4333,64.26,59,40,11.05,AU,1715304686
47,wailua homesteads,22.0669,-159.378,77.86,74,20,8.05,US,1715304971
48,kodiak,57.79,-152.4072,38.71,87,75,6.91,US,1715304971
49,hawaiian paradise park,19.5933,-154.9731,78.31,83,75,11.5,US,1715304971
50,tromso,69.6496,18.957,35.62,93,75,9.22,NO,1715304972
51,olonkinbyen,70.9221,-8.7187,28.56,77,11,19.1,SJ,1715304972
52,whitehorse,60.7161,-135.0538,53.02,49,75,28.77,CA,1715304972
53,oeiras,-7.0253,-42.1311,74.52,75,13,3.02,BR,1715304972
54,medina,24.4686,39.6142,81.03,21,0,2.3,SA,1715304921
55,amos,48.5669,-78.1162,45.01,62,99,2.48,CA,1715304895
56,port alfred,-33.5906,26.891,63.43,91,32,2.04,ZA,1715304973
57,palikir - national government center,6.9248,158.1611,85.05,74,100,10.36,FM,1715304974
58,haiku-pauwela,20.9219,-156.3051,78.22,84,75,18.41,US,1715304974
59,dudinka,69.4058,86.1778,13.68,93,41,5.99,RU,1715304974
60,filingue,14.3521,3.3168,91.2,33,87,10.69,NE,1715304974
